"","state","state_full","avg_mask","avg_admission","avg_symptom","avg_finances","avg_depression"
"1","AK","Alaska",54.8975326379781,8.24779814207651,2.11323730245902,37.8256929762162,13.6636582994536
"2","AL","Alabama",48.3829463125683,6.36372699453552,2.14899229699454,39.5052982508108,12.9874469901639
"3","AR","Arkansas",48.2146604639344,9.2771974590164,2.05266144016393,41.9471242183784,14.792454134153
"4","AZ","Arizona",54.78139399153,7.46096300546448,1.8935413568306,37.3920000245946,12.2906947980874
"5","CA","California",74.6810391751366,1.36266718579235,1.5261959057377,41.4888111597297,11.6082148931694
"6","CO","Colorado",49.4294625945355,6.36518663934426,1.86332551639344,36.4764877416216,12.4280742193989
"7","CT","Connecticut",65.1604842185792,3.13396756830601,1.50138058114754,37.5055354532432,11.2083453035519
"8","DC","District of Columbia",73.7254512371585,1.26489767759563,1.37661305765027,30.187481897541,10.3954139987603
"9","DE","Delaware",58.2764540614754,5.93701901639344,1.45060693770492,35.5629992510811,11.5210149
"10","FL","Florida",54.8605968907104,4.20378781420765,1.68348200273224,39.9971801497297,10.8689946054645
"11","GA","Georgia",55.2023519051913,3.42176516393443,1.8051196215847,39.1991724264865,11.8107856568306
"12","HI","Hawaii",83.6147864248634,0.660240327868854,1.0701168363388,38.2930856548649,10.5453201139344
"13","IA","Iowa",36.8467280349727,5.11286519125684,2.15096127814208,34.0664922967568,12.4139526472678
"14","ID","Idaho",36.6073861972678,2.60439450819672,2.03309483579235,34.8576839094595,12.6242724576503
"15","IL","Illinois",64.3419678505465,2.53804330601093,1.61832176939891,37.1326022667568,11.5871299357923
"16","IN","Indiana",43.96392895,7.88908620218579,2.01202345081967,37.5040533064865,14.0026793196721
"17","KS","Kansas",43.5602717677596,6.3481493715847,2.00886894043716,36.9734230883784,13.0097835027322
"18","KY","Kentucky",48.0907028117486,5.24029956284154,2.1888132726776,41.1830676694595,15.1620348991803
"19","LA","Louisiana",53.602044520765,5.17842614754098,2.14950873087432,43.3968610216216,12.9870129333333
"20","MA","Massachusetts",60.6065973532787,6.95562043715847,1.45287366502732,35.9903175278378,12.2420009040984
"21","MD","Maryland",68.805295479235,2.57235524590164,1.19494711393443,35.5808371813513,10.7548240513661
"22","ME","Maine",51.6833825439891,2.59318852459016,1.99023772978142,36.4649292143243,13.7159063467213
"23","MI","Michigan",47.7687306418033,5.20906890710382,1.74178013961749,34.6479281886486,13.0729646576503
"24","MN","Minnesota",44.6395123540984,4.25069207650273,1.7603872363388,31.476610202973,11.7628228672131
"25","MO","Missouri",47.3986171139344,7.24924396174863,1.8638913352459,36.7612845802703,13.2094190751366
"26","MS","Mississippi",52.1960232491803,7.7267093715847,2.13022364480874,42.6449413978378,13.1207111002732
"27","MT","Montana",34.874411286612,7.76250038251364,2.06980325956284,35.1728300927027,12.5437160153005
"28","NC","North Carolina",58.8075212021858,4.42316051912568,1.75419423060109,36.9238166148649,11.6029946737705
"29","ND","North Dakota",29.4494698806011,10.7358442349727,2.19918401420765,34.4083040237838,11.6312386259563
"30","NE","Nebraska",40.8228676087432,9.94962120218577,2.03296830355191,34.8938547227027,11.7555316855191
"31","NH","New Hampshire",49.9596926065574,4.60519278688524,1.68979249918033,33.4953724043243,12.1930581106557
"32","NJ","New Jersey",63.3133729486339,4.75729475409836,1.2696242931694,39.2664077648649,10.1505701101093
"33","NM","New Mexico",70.1110370786885,5.06820355191256,1.78041686065574,41.9649078748649,14.2589151409836
"34","NV","Nevada",66.1186589177596,5.6963613114754,1.68841784125683,40.8003801816216,13.0953624303279
"35","NY","New York",64.628522854918,3.26760972677596,1.52565254972678,41.1867653510811,11.8257624937158
"36","OH","Ohio",44.2023007352459,4.35876609289618,1.84315012786885,35.7487559978378,13.6232076969945
"37","OK","Oklahoma",41.9830671073771,15.6460113934426,2.14924842868853,41.6787879562162,14.7641518117486
"38","OR","Oregon",69.9508606330601,1.45305797814207,1.64660855737705,36.0704475116216,14.6760130139344
"39","PA","Pennsylvania",48.4524076330601,5.99651322404371,1.69744856256831,35.982137314054,12.3120880377049
"40","RI","Rhode Island",55.6781281273224,1.51752617486339,1.43253141775956,38.4666794956757,13.0293553527322
"41","SC","South Carolina",50.1272271901639,3.74384368852459,1.90159794726776,36.7628975608108,11.2452688614754
"42","SD","South Dakota",30.8332895448087,11.0618453005465,2.19274607103825,34.8358416637838,11.0008093092896
"43","TN","Tennessee",46.267319804918,4.62705136612022,2.08557724781421,38.1441501635135,13.5577184379781
"44","TX","Texas",56.5388941117486,6.34758822404372,1.89257123114754,43.3022078632432,12.0265311806011
"45","UT","Utah",40.0938124718579,1.77392081967213,2.03068103142077,36.8163320675676,14.3775567967213
"46","VA","Virginia",59.6603307043716,5.08109797814208,1.60975879644809,35.9821383967568,11.6609363762295
"47","VT","Vermont",59.4910057680328,2.31056103825136,1.4036330726776,33.8997012918919,12.7732000360656
"48","WA","Washington",72.2867784863388,1.02328453551913,1.5470336715847,35.3532456186486,14.4957900762295
"49","WI","Wisconsin",42.2733606051913,4.67568729508196,1.79358723797814,31.7818287435135,11.6652107543716
"50","WV","West Virginia",47.770476552459,8.93578846994535,2.26509283688525,42.1413440086487,16.2855935795082
"51","WY","Wyoming",31.121243239071,5.94534158469945,2.24035196202186,38.5326390932249,12.4647252775342
